category;written_infraction;infraction;sanctions;min_fine;max_fine;penal_servitude;other_penalties;flegt
Abandon de bois;;"Art. 42 point 5 arrêté interministériel 035/2006 (valable de 2006-2015); Article 64 point 6 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre (valable depuis octobre 2016)"")";143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Abandon de bois; Il est interdit d’abandonner sur le parterre de la coupe des arbres sur pied ou des grumes ayant une valeur marchande compte tenu des conditions économiques de la région.;Art 46. ARRETE MINISTERIEL N°CAB/MIN/AF.F-E.T/263/2002 DU 03 OCTOBRE 2002 PORTANT MESURES RELATIVES A L’EXPLOITATION FORESTIERE;;;;;;NA
Blanchiment de bois;;;;;;;;NA
Consultation insuffisante des populations locales / autochtones;;"Art. 89 du CF; Art 4 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre";;;;;;NA
Coupe d'essence non autorisée;;"Art. 65 de l'arrêté 050 au point 5 (Valable depuis 2015)-Art. 97 du code forestier,  Art 1 de l'arrêté 0011/2007 (abrogé); Article 64 point 5 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre (valable depuis octobre 2016)";143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Coupe dans une aire protégée, domaine forestier national;;Art. 38 du CF-Article 64 point 7 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre;;;;;;NA
Coupe en dehors des limites;Exploitation forestière en violation de la loi et de ses mesures d’exécution;"Art. 65 de l’arrêté 050/2015 point 1 (Valable depuis 2015); Art 42 de l'arrêté 035/2016 (Valable jusqu'en 2015)-Article 64 point 1 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre -valable depuis octobre 2016)";143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Coupe sous-diamètre;;Art. 65 de l’arrêté 050/2015 point 1 (Valable depuis 2015)-Art 42 de l'arrêté 035/2016 (Valable jusqu'en 2015);143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Déboisement sans autorisation;;;144 Code Forestier;100;500;5 mois - 3 ans;;NA
Défaut de marquage sur les billes, les culées et les souches;;Art.s 6, 68 l’arrêté ministériel N°050/2015 (valable depuis septembre 2015)-article 48, 49 arrêté 035/2006 (abrogé en 2015)-Article 66 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre -valable depuis octobre 2016);143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Défaut de matérialisation des limites de coupe annuelle;;Art. 5 alinéa  4 de l' arrêté interministériel 011/2007 (abrogé en 2015) -Art. 15 de l’Arrêté n° 036/2006 du 05 octobre 2006 (abrogé en 2015)-Art 14 de l'arrêté 034/2015 (valable depuis juillet 2015)-Art 13 arrêté 028/2008 fixant les modèles de contrat de concession forestière, Article 58 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre -valable depuis octobre 2016);143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Défaut de paiement des amendes;;Art 138 du code forestier-Art 7 de l'arrêté 104/2009 fixant les procédures de transaction en matière forestière;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Défaut de paiement des taxes forestières;;"Art. 122 code forestier (superficie); Art. 120 code forestier (abattage, installation); Art.s 1, 2 et 3 de l’arrêté interministériel n° 002/2013 et n° 924/2013 du 05/8/2013 portant fixation des taux, des droits et taxes en matière d’installation classée; Art. 1 Arrête interministériel n° 003 3/MIN/ECN-T/2010 et N° 029 CAB/MIN/FINANCES/2010";143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Défaut de paiement des taxes forestières;Le paiement des taxes et redevances en dehors des délais  ;;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Défaut de tenue des documents de suivi de l'exploitation;;Art. 50 et 60-61 (declarations) de l’arrêté 035/2006 (valide jusqu'en 2015)-Articles 69-79 de l'arrêté 050/2015 relatif à l'exploitation forestière;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Défaut de transmission des documents d'exploitation;;Articles 61 et 62 de l’arrêté 035 relatif à l'exploitation forestière (valide jusqu'en 2015)- Articles 77 à 79 de l'arrêté 050 de l'arrêté 050 sur l'exploitation forestière du bois d'oeuvre (valable jusqu'en octobre 2016)-Art 52 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre -valable depuis octobre 2016);143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Défaut sur documents de transformation de bois;;Article7 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre -valable depuis octobre 2016);;;;;;NA
Défaut sur le recrutement ou la gestion du personnel;;Art 1 de l’arrêté 028 du 7/8/2008 fixant le modèle de contrat de concession forestière-Art 56 al 5 arrêté 050/2015 (valable jusqu'en octobre 2016)-Article 56 point 5 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre -valable depuis octobre 2016);143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Dépassement de volume/pieds autorisés;;Art 19 de l'arrêté 035/2006 relatif à l'exploitation forestière (valide jusqu'en 2015)-Article 40 de l'arrêté 050/2015 relatif à l'exploitation forestière de Bois d'oeuvre (jusqu'en octobre 2016)-Article 64 point 5 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre -valable depuis octobre 2016);143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Dépassement de volume/pieds autorisés;Exploitation forestière en violation de la loi et de ses mesures d’exécution ;143 Code Forestier;144 Code Forestier;20;100;4 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Emploi de manoeuvres frauduleuses;;"Art.s 19, 64 point 2 de l’arrêté 35/200; Art.146 code forestier (falsificaiton de marteaux)-Article 84de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre -valable depuis octobre 2016)";143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Emploi de manoeuvres frauduleuses;Contrefait ou falsifie les marques régulièrement déposées, fait usage de marteau contrefait ou falsifié, ou, s'étant indûment procuré le marteau véritable, en fait frauduleusement usage, en enlève ou tente d'en enlever les marques;;146 Code Forestier;25;125;2 mois- 2 ans;;NA
Emploi de manoeuvres frauduleuses;Lorsque ces marteaux servent de marque de l'administration chargée des forêts:  Contrefait ou falsifie les marques régulièrement déposées, fait usage de marteau contrefait ou falsifié, ou, s'étant indûment procuré le marteau véritable, en fait frauduleusement usage, en enlève ou tente d'en enlever les marques;;146 Code Forestier;25;125;2 mois- 2 ans;;NA
Emploi de manoeuvres frauduleuses;Recidive:  Contrefait ou falsifie les marques régulièrement déposées, fait usage de marteau contrefait ou falsifié, ou, s'étant indûment procuré le marteau véritable, en fait frauduleusement usage, en enlève ou tente d'en enlever les marques;;146 Code Forestier;500;1,000,000;6 mois- 3 ans;;NA
Exploitation ou évacuation hors délais autorisés;;Art 62 de l'arrêté 050/2015 (valable jusqu'en octobre 2016)-Article 23 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre (valable depuis octobre 2016);143 Code Forestier;20;100;7 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Exploitation sans agrément valable;;"Art. 3, 8, 23 arrêté rministériel 035 (valable jusqu'en 2015); Art. 97 code forestier et Art. 11 arrêté 035/2006; Art.145 code foretier (falsificaiton d'agrement)-Article 8 et 9 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre (valable depuis octobre 2016)";147 Code Forestier;10;500;1 mois - 3 ans;;NA
Exploitation sans convention;;;;;;;;NA
Exploitation sans permis;Falsifie l'une des autorisations prévues par la présente loi et ses mesures d'exécution.;;145 Code Forestier;20;100;5 mois - 2 ans;Arrêt des travaux de coupe et saisissent les produits ainsi que les outils, machines et véhicules ayant servi aux travaux.;NA
Exploitation sans permis;Exploite les produits forestiers, sans autorisation requise;;147 Code Forestier;10;50;1 mois - 3 ans;;NA
Exploitation sans permis;Exploitation forestière sans une autorisation appropriée. ;Article 97 Code forestier;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Exploitation sans permis;;"Art. 95 alinéa 1 du code forestier; Art. 97 du Code Forestier, Art. 7 de l’arrêté 35/2006 et 1 arrêté 0011 (abrogés)-Article 15 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre (valable depuis octobre 2016)";147 Code Forestier;10;50;1 mois - 3 ans;;NA
Exploitation sans titre d'exploitation;;Art. 8 de l’arrêté 036 décrivant le contenu du et plan d’aménagement-Article 15 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre (valable depuis octobre 2016);147 Code Forestier;10;50;1 mois - 3 ans;;NA
Exportation d'espèces CITES sans autorisation;;article 82 al 2 arrêté 050/2015 (abrogé depuis octobre 2016);143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Exportation de bois sans autorisation;;article 82 al 2 arrêté 050/2016 (abrogé depuis octobre 2015);143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Exportation de bois sans autorisation;Exporte des essences en violation des restrictions instituées par les mesures d'exécution de la présente loi;;147 Code Forestier;10;50;1 mois - 3 ans;;NA
Non paiement des droits à l'exportation;;Artt 122 du Code Forestier;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Non respect de la réglementation du transport (enregistrement du véhicule, autorisation de transport...);;Art 72 de l'arrêté 050/2015-Art 54, 55 arrêté 035/2006 (valable jusqu'en 2015)-Art 74 de l'arrêté 084/2016 relatif à l'exploitation forestière;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Non respect des exigences relatives à la reconversion des forêts en agriculture;;;;  ;;;;NA
Non respect des normes EFIR (Exploitation Forestière à Impact Réduit);;Art 2 pt h de l’Arrêté n° 036/2006 du 05 octobre 2006 (valable jusqu'en 2015)- Art 32 de l’Arrêté 035/2006 (valable jusqu'en 2015)-Art 30 arrêté 034/2015-Art 56 de l'arrêté 084/2016 (valable depuis octobre 2016);143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Non respect des normes EFIR (Exploitation Forestière à Impact Réduit);Dégrade un écosystème forestier ou déboise une zone exposée au risque d'érosion ou d'inondation;;148 Code Forestier;20;500;6 mois - 5 ans;;NA
Non respect des normes EFIR (Exploitation Forestière à Impact Réduit);Eboise la forêt sur une distance de 50 mètres de part et d'autre des cours d'eau ou dans un rayon de 100 mètres autour de leur source;;148 Code Forestier;20;500;6 mois - 5 ans;;NA
Non respect des obligations contractuelles;;"Art. 89 du Code Forestier; Art. 10 de l’arrêté ministériel 021/CAB/MIN/ECN T/15/JEB/2008 (base vie)";143 Code Forestier;20;100;9 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Non respect des obligations contractuelles;Exploitation forestière en violation des clauses sociales du cahier des charges.;;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Non respect des procédures relatives aux études d'impact et aux inventaires;;Art 19 du CF;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Non respect du plan d'aménagement;Exploitation forestière non conforme au plan d’aménagement l’article 100 de la loi.;Art 5, 6 de l'arrêté min 034/2015 fixant procédure d'élaboration, de vérification, d'approbation, de mise en oeuvre et de suivi du plan d'aménagement-Article 15 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre (valable depuis octobre 2016). Article 100 du Code Forestier;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Non respect du quota de transformation;;;;;;;;NA
Obstacles au contrôle forestier;Refuse l'accès de sa concession à des agents de l'administration chargée des forêts ou aux membres du conseil consultatif provincial des forêts en mission de service;Art 129 du Code Forestier;147 Code Forestier;10;50;1 mois - 3 ans;;NA
Origine du bois transporté non traçable ou origine du bois non identifiée;;Article 127 du CF-Articles 8 à 11 de l'arrêté 102/2009 sur le contrôle forestier;147 Code Forestier;10;50;1 mois - 3 ans;;NA
Société non enregistrée conformément à la réglementation;;Art 9 de l'arrêté 050/2015;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Sous-traitance / transfert d'actions irréguliers;"Loue, échange ou cède sa concession sans autorisation de l’autorité compétente;";;147 Code Forestier;10;50;1 mois - 3 ans;;NA
Stockage de bois illégal;;Art. 57 et 58 de l’arrêté ministériel N°035/CAB/MIN/ECN-EF/2006;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Transformation de bois d'origine frauduleuse ou inconnue;;;;;;;;NA
Transformation de bois sans autorisation;;;;;;;;NA
Unité de transformation pas en place lorsque prévu;;;;;;;;NA
Violation des droits de l'Homme;;;;;;;;NA