name;organization;observer_type
Greenpeace;Greenpeace;External
Greenpeace;Greenpeace;External
Greenpeace;Greenpeace;External
Greenpeace;Greenpeace;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
AGRECO;AGRECO;Mandated
CEDLA;CEDLA;External
CEDLA;CEDLA;External
CEDLA;CEDLA;External
FODER;FODER;SemiMandated
FODER;FODER;SemiMandated
FODER;FODER;SemiMandated
FODER;FODER;SemiMandated
FODER;FODER;SemiMandated
FODER;FODER;SemiMandated
MINFOF;MINFOF;Government
MINFOF;MINFOF;Government
MINFOF;MINFOF;Government
PAPEL ;PAPEL ;External
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
REM;REM;Mandated
CIEDD;CIEDD;External
CIEDD;CIEDD;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
Global Witness;Global Witness;External
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
CAGDF;CAGDF;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
Brainforest;Brainforest;External
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
CS-IFM;CS-IFM;External
CS-IFM;CS-IFM;External
CS-IFM;CS-IFM;External
CS-IFM;CS-IFM;External
CS-IFM;CS-IFM;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
Global Witness;Global Witness;External
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
