operator,fmu
Agropecuária Vitória Régia SA,671/2009 Logging Authorisation (AUTEF)
Estate of Violeta Elizabeth Hagmann ,1515/2010 Logging Authorisation (AUTEF)
Rainbow Trading Importação e Exportação LTDA,Santarém municipality
Tecniflora Ltd,Marituba estate - 2281/2012 Logging Authorisation (AUTEF)
Virola-Jatobá Sustainable Development Project (sub-contract with Vitória Régia Exportadora and Bortolanza),633/2009 Logging Authorisation (AUTEF)
Try Pheap Group,Multiple ELCs
Try Pheap Group,Stung Atay hydropower dam reservoir and three ELCs in Phnom Samkos Wildlife Sanctuary
Try Pheap Group,Not specified
Abong Mbang & Fils,Forêt communautaire de Kassarafam
AFRIGRUM,VC 08 06 156
Amougou Amougou Jules (AAJ),AEB 0056
Biloa Atsama,AEB 1356
BODUCAM,VC 0903341
BODUCAM,VC 0903342
BODUCAM,VC 0903343
BUBINGA (en partenariat avec South & Fils),UFA 09 023 AAC 2-3
CAFECO,UFA 11 005 AAC 1
CAMEROON LONG YUAN,Sombo
CFC,UFA 10 004 AAC 3-5
COBANKO (partenaire: Abong Mbang & Fils),Forêt communautaire de Kongo
COFA,Not specified
Communauté COVINCO/ABong Mbang Cars,Forêt communautaire de Nkondong
CUF,UFA 09 019 AAC 3-1
ECIC,Not specified
EFICNT,AEB 0174
MGZ,AEB 0135
ISIBOIS ,AEB 0079
ETF,AEB 275
ETAMFA,AEB 07 03 087
SEF,ARB 1327
EFM,VC 08 09 179
EFM,VC 08 10 113
FIPCAM,UFA 09 017 AAC 2-6
GBOPABA / Abong Mbang & Fils,Forêt communautaire de Ngola-Achip
GIC MPDB,Forêt communautaire
Grandes Scieries d'Edéa,Convention de Vente aux Enchères Publics de Bois)
Horizon Bois,VC 09 03 154
IFTCA,UFA 08 006
IFTCA,AEB 02491
Juju Bois,Forêt communautaire de Kassarafam
KIEFFER et Cie (KIEFFER),VC 07 03 62
LFM,ARB 1882
LOREMA,UFA 09 003 AAC 2-3 / 2-4
MMG,UFA 00 003
Monsieur Francis ABESSOLO MINTOUNOU,Not specified
Monsieur Marc NEMI BINGAN,Not specified
Monsieur Nyeck,Not specified
Muwud Emanuel and Sons Entreprises (MUWUD),AEB 0763
PEMACO,Not specified
PEMACO,AEB 1241
PLACAM,UFA 10 061 AAC 1-3
SABM,UFA 08 002
SALCAM,UFA 09 012
SBAC,UFA 10 050
SCDS,AEB 0622
SCDS,AEB 0662
SCIEB,UFA 09 025 AAC 1-2
SCIFO,UFA 10032
SEFAC,UFA 10 008 AAC 2-4
SEFAC,UFA 10 010 AAC 2-4
SFAC,AEB 1007
SFIL,AEB 1090
SFIM,Not specified
SFMF en partenariat avec SIFAM,UFA 09 012 AAC 12
SFSC,Oboul
SFW,CR 0375
SFW,AEB 0375
SFW,UFA 10 065 AAC 2
SG SOC,UFA 11 007
SG SOC,UFA 11 006
SITAF,ARB 0014
SN COCAM,UFA 09015 AAC 2
SN EWAFI en partenariat avec PLACAM,AEB 1477
Société Cana Bois,UFA 08 007
Société Commercial International Cameroun,AEB 0730
SOFATEF,Not specified
SOFICOM,CR 175
SOFICOM,AEB 0175
SOFICOM,"ARB 08 03 027, 08 80 177"
SOFOROC,AEB 0072
South et Fils,ARB 0011
TCS,AEB 0749
Transformation Reef Cameroun,UFA 00 004
TTS,Not specified
TTS,AEB 0240
Zingui Juda ,AEB 1102 (et/ou 221)
ZINGUI Judas,Not specified
ZINGUI Judas,AEB 221/AEB 1102
IFB,PEA 165
IFB,Not specified
IFB,Batalimo
SCAD,Not specified
SCAF,Not specified
SCD,Not specified
SEFCA,Not specified
SEFCA,Mambere
SINFOCAM ,PEA 190
SOFOKAD (Vicwood),Not specified
Thanry,Not specified
VICA,Not specified
VICWOOD,Not specified
ADL,MOUYALA
Agil Congo,Kelle Mbomo
ASIA CONGO INDUSTRIE,MASSANGA et LOUVAKOU
ASIA CONGO INDUSTRIE,Bambama
ASIA CONGO INDUSTRIE,Louvakou
ASIA CONGO INDUSTRIE,Massanga
ASIA CONGO INDUSTRIE,Ngongo-Nzambi
ASIA CONGO INDUSTRIE,?
ATAMA PLANTATION SARL (APS),Epoma
ATAMA PLANTATION SARL (APS),ATAMA PLANTATION
BNC/YOKA,Not specified
BPL,Lopola
Casmir MADOUKA,"Zone de développement agricole dire ""zone Sangha Palm"""
Charles Omboumahou,Zones d’Omboualamboua et Ngourou
CIB,Loundoungou-toukoulaka
CIB,"POKOLA, KABO"
CIBN,Nyanga
COFIBOIS,Mbamba nord
CONGO DEJIA WOOD INDUSTRY,Kellé Mbomo
CONGO DEJIA WOOD INDUSTRY,Mbomo-Kelle
Eco-Oil Energie,Makoua
Ekassi Mbongo,Kimongo-Louila
Ets Lurcia Services,Zones agricoles de Sibiti
FORALAC,Louesse
FORALAC,Nkola
FORALAC,Loumongo
FORALAC,Kola
GET/YZ,Not specified
Groupe Malekat Constant,Mbalouma
IFO,Ngombe
IFO,Tala-tala
Lexus Agric,Zones agricoles Komono
LIKOUALA TIMBER,MISSA et BETOU
LIKOUALA TIMBER,Betou
LIKOUALA TIMBER,Missa
LIKOUALA TIMBER,"UFA BETOU, UFA MISSA"
LOWON Congo,Not specified
Million Well Holding,Kelle Mbomo
MOKABI SA,Mokabi-dzanga
OSSA Richard,Not specified
SEFYD,Jua-ikie
SETRAF,"Zone de développement agricole dire ""zone Sangha Palm"""
SFIB,Ngouha II nord
SICOFOR,Ingoumina-lelali
SICOFOR,COTOVINDOU
SICOFOR,Not specified
SIFCO,Tala-tala
SIPAM,Mapati
Société Groupe EKASI-BONGO,"Zone de développement agricole dire ""zone Sangha Palm"""
SOFIA,Abala
SOFIL,Leboulou
TAMAN INDUSTRIE,Banda nord
TAMAN INDUSTRIE,Mpoukou-Ogooué
Techniques Bois Du Niari (TBN),Mila-Mila
THANRY-CONGO,Ipendja
TRABEC,BOUBISSI
WANG SAM COMPAGNY,Makoua
YOKA René,KIMONGO LOUILA
IFEG,Hua Jia
Madame Marie-Gisèle ANDEME,Not specified
Monsieur Aimé-Placide SERGENT,Not specified
Monsieur Bertin ELAP KAMGA,Not specified
Monsieur Emmanuel NZE ANGWE ,Not specified
Monsieur Ferdinand MOUKELA ,Not specified
Monsieur Gauthier OBIANG ESSONO,Not specified
Monsieur Honoré KENGNE,Not specified
Monsieur Jean-Serge Aboubakar Lengouma,Not specified
Monsieur Joseph NFONCHA,Not specified
Monsieur YANG CHOLUN,Not specified
PENG XIN SARL,Not specified
SEAB/Monsieur YAP CHOON HING,Not specified
CV Surya Agung Mandiri (SAM),"Surabaya, East Jawa"
PT Albasia Bhumipala Persada (ABP),"Temanggung, Central Jawa"
PT Bahana Lestari Bhumipala Persada (BLBP),"Batang, Central Jawa"
PT Budi Lampung Sejahtera (BLS),"Way Kanan district, Lampung"
PT Decorindo Inti Alam Wood (DIAW),"Barito Kuala, South Kalimantan"
PT FLORA NUSA PERDANA,PT FLORA NUSA PERDANA
PT Gaung Satyagraha Agrindo (GSA),"Katingan District, Central Kalimantan"
PT Hasnur Jaya Utama (HJU),"South Barito, Central Kalimantan"
PT KAHAYAN AGRO PLANTATIONS,PT KAHAYAN AGRO PLANTATIONS
PT Karya Jaya Berdikari (KJB),"West Southeast Maluku District, Maluku"
PT Lestari Asri Jaya (LAJ),"Tebo, Jambi"
PT NUSANTARA SAWIT PERSADA,PT NUSANTARA SAWIT PERSADA
PT Panca Usaha Palopo Plywood (PUPP),"Luwu District, South Sulawesi"
PT PRASETYA MITRA MUDA,PT PRASETYA MITRA MUDA
PT Rimba Hutani Mas (RHM),"Musi Banyuasin District, South Sumatera"
PT Seng Fong Moulding Perkasa (SFMP),"Jombang, East Java"
PT Telaga Mas Kalimantan Company (TMKC),"Paser District, East Kalimantan"
PT Toba Pulp Lestari (TPL),"Toba Samosir District, North Sumatra"
STBC,Cavally
ICC/Foret Venture,FMC Area K
"Various collectors, traders, middemen",SAVA region primarily but national
"Various collectors, traders, middemen","Vohémar,Northern Madagascar"
Shin Yang,Not specified
Bego Congo,CCF 022/11
CFT,CCF 046/11
COTREFOR (Ex. TRANS M),018/11
FORABOLA,042/11
ITB,CCF 005/11
KAYEMBE KEYIMBI André,Sans titre
KULUTUNI LUBAMBA Georges,Sans titre
LA FORESTIERE,003/11
LA FORESTIERE,CCF 003/11
LA FORESTIERE DU LAC,CCF 048/11
LOKOTA DEWELE Robert,Sans titre
Monsieur IYEKO KU MU Donat,Sans titre
Monsieur WASHIDO Dieudonné,Sans titre
MWA MBILWA NKALA Jean Paul,Sans titre
NBK Services,049 /14
NGOY ISAMO Auguy,Sans titre
RIBA CONGO,056/14
SAFO,010/11
SEDAF,52/14
SODEFOR,037/11
Sodefor,CCF 035/11
Sodefor,CCF 039/11
TALA TINA,050/14
TSHIMBI ESEKO André,Sans titre