operator;id;fmu
SIFCO;CG/BZV/04B2198;Tala-tala
SIFCO;CG/BZV/04B2198;Tala-tala
SIFCO;CG/BZV/04B2198;Tala-tala
SIFCO;CG/BZV/04B2198;Tala-tala
SIFCO;CG/BZV/04B2198;Tala-tala
SIFCO;CG/BZV/04B2198;Tala-tala
SIFCO;CG/BZV/04B2198;Tala-tala
SIFCO;CG/BZV/04B2198;
SIFCO;CG/BZV/04B2198;
SIFCO;CG/BZV/04B2198;
SIFCO;CG/BZV/04B2198;
SIFCO;CG/BZV/04B2198;Tala-tala
SIFCO;CG/BZV/04B2198;
SIFCO;CG/BZV/04B2198;Tala-tala
SIFCO;CG/BZV/04B2198;
SIFCO;CG/BZV/04B2198;
SIFCO;CG/BZV/04B2198;
SIFCO;CG/BZV/04B2198;
SEFYD;CG/BZV/07B428;Jua-ikie
SEFYD;CG/BZV/07B428;Jua-ikie
SEFYD;CG/BZV/07B428;
SEFYD;CG/BZV/07B428;
SEFYD;CG/BZV/07B428;
SEFYD;CG/BZV/07B428;
SEFYD;CG/BZV/07B428;
SEFYD;CG/BZV/07B428;
SEFYD;CG/BZV/07B428;
SEFYD;CG/BZV/07B428;
SEFYD;CG/BZV/07B428;Jua-ikie
SEFYD;CG/BZV/07B428;
SEFYD;CG/BZV/07B428;
SEFYD;CG/BZV/07B428;
SEFYD;CG/BZV/07B428;Jua-ikie
SEFYD;CG/BZV/07B428;Jua-ikie
SEFYD;CG/BZV/07B428;Jua-ikie
SEFYD;CG/BZV/07B428;"Karagoua
"
THANRY-CONGO;CG/BZV/11B2841;"Ipendja
"
THANRY-CONGO;CG/BZV/11B2841;"Ipendja
"
THANRY-CONGO;CG/BZV/11B2841;"Ipendja
"
THANRY-CONGO;CG/BZV/11B2841;"Ipendja
"
MOKABI SA;CG/IMP/03B001;"Mokabi-dzanga
"
MOKABI SA;CG/IMP/03B001;"Mokabi-dzanga
"
MOKABI SA;CG/IMP/03B001;"Mokabi-dzanga
"
MOKABI SA;CG/IMP/03B001;"Mokabi-dzanga
"
MOKABI SA;CG/IMP/03B001;"Mokabi-dzanga
"
CIB;CG/OUE/05B179;"Kabo
"
CIB;CG/OUE/05B179;"Loundoungou-toukoulaka
"
CIB;CG/OUE/05B179;"Kabo
"
CIB;CG/OUE/05B179;"Loundoungou-toukoulaka
"
CIB;CG/OUE/05B179;"Pikounda nord
"
CIB;CG/OUE/05B179;"Pokola
"
CIB;CG/OUE/05B179;"Kabo
"
CIB;CG/OUE/05B179;"Kabo
"
CIB;CG/OUE/05B179;"Kabo
"
CIB;CG/OUE/05B179;"Loundoungou-toukoulaka
"
CIB;CG/OUE/05B179;"Loundoungou-toukoulaka
"
CIB;CG/OUE/05B179;Mimbeli-ibenga 
CIB;CG/OUE/05B179;Mimbeli-ibenga 
CIB;CG/OUE/05B179;Mimbeli-ibenga 
CIB;CG/OUE/05B179;"Pikounda nord
"
CIB;CG/OUE/05B179;"Pikounda nord
"
CIB;CG/OUE/05B179;"Pokola
"
CIB;CG/OUE/05B179;"Pokola
"
CIB;CG/OUE/05B179;"Pokola
"
CIB;CG/OUE/05B179;"Pokola
"
CIB;CG/OUE/05B179;"Kabo
"
CIB;CG/OUE/05B179;"Loundoungou-toukoulaka
"
CIB;CG/OUE/05B179;"Pokola
"
CIB;CG/OUE/05B179;"Loundoungou-toukoulaka
"
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Bambama
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Louvakou
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Massanga
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Ngongo-nzambi
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Bambama
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Louvakou
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Louvakou
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Massanga
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Massanga
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Ngongo-nzambi
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Ngongo-nzambi
FORALAC;CG/PNR/10B1363;Louessé
SICOFOR;CG/PNR/10B1907;Gouongo
SICOFOR;CG/PNR/10B1907;Ingoumina-lelali
SICOFOR;CG/PNR/10B1907;Letili
SICOFOR;CG/PNR/10B1907;Gouongo
SICOFOR;CG/PNR/10B1907;Gouongo
SICOFOR;CG/PNR/10B1907;Ingoumina-lelali
SICOFOR;CG/PNR/10B1907;Gouongo
SICOFOR;CG/PNR/10B1907;Letili
SICOFOR;CG/PNR/10B1907;Lébama
AFRIWOOD industries;CG/PNR/13B947;Doumanga
AFRIWOOD industries;CG/PNR/13B947;Doumanga
AFRIWOOD industries;CG/PNR/13B947;Cayo
AFRIWOOD industries;CG/PNR/13B947;Doumanga
AFRIWOOD industries;CG/PNR/13B947;
AFRIWOOD industries;CG/PNR/13B947;Cayo
AFRIWOOD industries;CG/PNR/13B947;Cayo
AFRIWOOD industries;CG/PNR/13B947;Doumanga
AFRIWOOD industries;CG/PNR/13B947;Nkola
BOIS-KASSA;CG/UNKNOWN/0001;"Mobola-mbondo
"
BPL;CG/UNKNOWN/0002;"Lopola
"
BPL;CG/UNKNOWN/0002;"Lopola
"
BPL;CG/UNKNOWN/0002;"Lopola
"
BPL;CG/UNKNOWN/0002;"Lopola
"
BTC Sarl;CG/UNKNOWN/0003;Kimandou
BTC Sarl;CG/UNKNOWN/0003;Kimandou
BTC Sarl;CG/UNKNOWN/0003;Mabombo
CIBN;CG/UNKNOWN/0004;Ngouha II sud
CIBN;CG/UNKNOWN/0004;Ngouha II sud
CIBN;CG/UNKNOWN/0004;Nyanga
CIBN;CG/UNKNOWN/0004;Nyanga
CITB QUATOR;CG/UNKNOWN/0005;Nanga
COFIBOIS;CG/UNKNOWN/0006;Mbamba nord
COFIBOIS;CG/UNKNOWN/0006;Mbamba nord
COFIBOIS;CG/UNKNOWN/0006;Mbamba sud
CONGO DEJIA WOOD INDUSTRY;CG/UNKNOWN/0007;Mbomo-kéllé
CONGO DEJIA WOOD INDUSTRY;CG/UNKNOWN/0007;Mbomo-kéllé
CONGO DEJIA WOOD INDUSTRY;CG/UNKNOWN/0007;Mbomo-kéllé
CONGO DEJIA WOOD INDUSTRY;CG/UNKNOWN/0007;Mbomo-kéllé
CONGO DEJIA WOOD INDUSTRY;CG/UNKNOWN/0007;Mbomo-kéllé
CONGO DEJIA WOOD INDUSTRY;CG/UNKNOWN/0007;Mbomo-kéllé
COTRANS;CG/UNKNOWN/0008;Ntombo
Entreprise Christelle;CG/UNKNOWN/0009;Tsama-mbama
ETBM Sarl;CG/UNKNOWN/0010;Moungouma
IFO;CG/UNKNOWN/0011;"Ngombé
"
IFO;CG/UNKNOWN/0011;"Ngombé
"
IFO;CG/UNKNOWN/0011;"Ngombé
"
IFO;CG/UNKNOWN/0011;"Ngombé
"
KIMBAKALA ET CIE;CG/UNKNOWN/0012;Loamba
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Bétou
"
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Bétou
"
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Missa
"
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Bétou
"
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Bétou
"
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Bétou
"
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Missa
"
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Missa
"
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Missa
"
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Missa
"
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Missa
"
SADEF-CONGO;CG/UNKNOWN/0014;Makabana
SFIB;CG/UNKNOWN/0015;Ngouha II nord
SFIB;CG/UNKNOWN/0015;Ngouha II nord
SIPAM;CG/UNKNOWN/0016;Loumongo
SIPAM;CG/UNKNOWN/0016;Mapati
SIPAM;CG/UNKNOWN/0016;Mapati
SOFIA;CG/UNKNOWN/0017;Abala
SOFIA;CG/UNKNOWN/0017;Abala
SOFIL;CG/UNKNOWN/0018;"Léboulou
"
SPIEX;CG/UNKNOWN/0019;Louadi-bihoua
TAMAN INDUSTRIE Ltd;CG/UNKNOWN/0020;Banda nord
TAMAN INDUSTRIE Ltd;CG/UNKNOWN/0020;Banda nord
TAMAN INDUSTRIE Ltd;CG/UNKNOWN/0020;"Kola
"
TAMAN INDUSTRIE Ltd;CG/UNKNOWN/0020;"Kola
"
TAMAN INDUSTRIE Ltd;CG/UNKNOWN/0020;Mpoukou-ogooué
WANG SAM Compagny;CG/UNKNOWN/0021;"Makoua
"
WANG SAM Compagny;CG/UNKNOWN/0021;"Makoua
"
WANG SAM Compagny;CG/UNKNOWN/0021;"Makoua
"
WANG SAM Compagny;CG/UNKNOWN/0021;"Makoua
"
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11
BEGO CONGO;DRC/UNKNOWN/0002;022/11
CFE (ex. SICOBOIS);DRC/UNKNOWN/0003;014/11
CFT;DRC/UNKNOWN/0004;046/11
CFT;DRC/UNKNOWN/0004;046/11
CFT;DRC/UNKNOWN/0004;046/11
CFT;DRC/UNKNOWN/0004;046/11
CFT;DRC/UNKNOWN/0004;047/11
COMPAGNIE DES BOIS;DRC/UNKNOWN/0005;021/11
COTREFOR ;DRC/UNKNOWN/0006;009/11
COTREFOR ;DRC/UNKNOWN/0006;018/11
COTREFOR ;DRC/UNKNOWN/0006;018/11
COTREFOR ;DRC/UNKNOWN/0006;009/11
COTREFOR ;DRC/UNKNOWN/0006;009/11
COTREFOR ;DRC/UNKNOWN/0006;009/11
COTREFOR ;DRC/UNKNOWN/0006;009/11
COTREFOR ;DRC/UNKNOWN/0006;018/11
COTREFOR ;DRC/UNKNOWN/0006;018/11
COTREFOR ;DRC/UNKNOWN/0006;018/11
COTREFOR ;DRC/UNKNOWN/0006;018/11
ENRA;DRC/UNKNOWN/0007;019/11
FORABOLA ;DRC/UNKNOWN/0008;015/11
FORABOLA ;DRC/UNKNOWN/0008;015/11
FORABOLA  ;DRC/UNKNOWN/0008;58/14
FORABOLA  ;DRC/UNKNOWN/0008;60/14
FORABOLA ;DRC/UNKNOWN/0008;036/11
FORABOLA  ;DRC/UNKNOWN/0008;043/11
FORABOLA  ;DRC/UNKNOWN/0008;57/14
ITB;DRC/UNKNOWN/0009;012/11
ITB;DRC/UNKNOWN/0009;012/11
ITB;DRC/UNKNOWN/0009;013/11
ITB;DRC/UNKNOWN/0009;013/11
ITB;DRC/UNKNOWN/0009;012/11
ITB;DRC/UNKNOWN/0009;013/11
ITB;DRC/UNKNOWN/0009;012/11
ITB;DRC/UNKNOWN/0009;012/11
ITB;DRC/UNKNOWN/0009;013/11
ITB;DRC/UNKNOWN/0009;012/11
ITB;DRC/UNKNOWN/0009;012/11
ITB;DRC/UNKNOWN/0009;012/11
ITB;DRC/UNKNOWN/0009;013/11
ITB;DRC/UNKNOWN/0009;013/11
ITB;DRC/UNKNOWN/0009;013/11
ITB;DRC/UNKNOWN/0009;013/11
ITB;DRC/UNKNOWN/0009;012/11
ITB;DRC/UNKNOWN/0009;013/11
ITB;DRC/UNKNOWN/0009;005/11
ITB;DRC/UNKNOWN/0009;006/11
LA FORESTIERE;DRC/UNKNOWN/0010;001/11
LA FORESTIERE;DRC/UNKNOWN/0010;002/11
LA FORESTIERE;DRC/UNKNOWN/0010;001/11
LA FORESTIERE;DRC/UNKNOWN/0010;002/11
LA FORESTIERE;DRC/UNKNOWN/0010;001/11
LA FORESTIERE;DRC/UNKNOWN/0010;001/11
LA FORESTIERE;DRC/UNKNOWN/0010;001/11
LA FORESTIERE;DRC/UNKNOWN/0010;001/11
LA FORESTIERE;DRC/UNKNOWN/0010;003/11
LA FORESTIERE DU LAC;DRC/UNKNOWN/0011;048/12
MAISON NBK SERVICE;DRC/UNKNOWN/0012;011/11
MAISON NBK SERVICE;DRC/UNKNOWN/0012;49/14
MEGA BOIS;DRC/UNKNOWN/0013;017/11
MOTEMA;DRC/UNKNOWN/0014;024/11
MOTEMA;DRC/UNKNOWN/0014;025/11
RIBA CONGO;DRC/UNKNOWN/0015;56/14
RIBA CONGO;DRC/UNKNOWN/0015;56/14
SAFO;DRC/UNKNOWN/0016;010/11
SCIBOIS;DRC/UNKNOWN/0017;020/11
SCIBOIS;DRC/UNKNOWN/0017;020/11
SCIBOIS;DRC/UNKNOWN/0017;020/11
SCIBOIS;DRC/UNKNOWN/0017;020/11
SCTP ;DRC/UNKNOWN/0018;55/14
SEFOCO;DRC/UNKNOWN/0019;016/11
SEFOCO;DRC/UNKNOWN/0019;023/11
SICOBOIS;DRC/UNKNOWN/0020;51/14
SICOBOIS;DRC/UNKNOWN/0020;51/14
SICOBOIS;DRC/UNKNOWN/0020;51/14
SICOBOIS;DRC/UNKNOWN/0020;51/14
SICOBOIS;DRC/UNKNOWN/0020;033/11
SIFORCO;DRC/UNKNOWN/0021;026/11
SIFORCO;DRC/UNKNOWN/0021;027/11
SIFORCO;DRC/UNKNOWN/0021;026/11
SIFORCO;DRC/UNKNOWN/0021;027/11
SIFORCO;DRC/UNKNOWN/0021;026/11
SIFORCO;DRC/UNKNOWN/0021;027/11
SIFORCO;DRC/UNKNOWN/0021;027/11
SIFORCO ;DRC/UNKNOWN/0021;54/14
SIFORCO  ;DRC/UNKNOWN/0021;53/14
SIFORCO;DRC/UNKNOWN/0021;026/11
SIFORCO ;DRC/UNKNOWN/0021;54/14
SIFORCO  ;DRC/UNKNOWN/0021;53/14
SIFORCO;DRC/UNKNOWN/0021;026/11
SIFORCO;DRC/UNKNOWN/0021;027/11
SIFORCO;DRC/UNKNOWN/0021;026/11
SIFORCO;DRC/UNKNOWN/0021;040/11
SIFORCO  ;DRC/UNKNOWN/0021;52b/14
SODEFOR;DRC/UNKNOWN/0022;039/11
SODEFOR;DRC/UNKNOWN/0022;039/11
SODEFOR;DRC/UNKNOWN/0022;039/11
SODEFOR;DRC/UNKNOWN/0022;039/11
SODEFOR;DRC/UNKNOWN/0022;61/14
SODEFOR  ;DRC/UNKNOWN/0022;59/14
SODEFOR;DRC/UNKNOWN/0022;039/11
SODEFOR;DRC/UNKNOWN/0022;039/11
SODEFOR;DRC/UNKNOWN/0022;039/11
SODEFOR;DRC/UNKNOWN/0022;039/11
SODEFOR  ;DRC/UNKNOWN/0022;59/14
SODEFOR  ;DRC/UNKNOWN/0022;59/14
SODEFOR  ;DRC/UNKNOWN/0022;59/14
SODEFOR  ;DRC/UNKNOWN/0022;59/14
SODEFOR  ;DRC/UNKNOWN/0022;59/14
SODEFOR  ;DRC/UNKNOWN/0022;59/14
SODEFOR;DRC/UNKNOWN/0022;039/11
SODEFOR;DRC/UNKNOWN/0022;034/11
SODEFOR;DRC/UNKNOWN/0022;035/11
SODEFOR;DRC/UNKNOWN/0022;037/11
SODEFOR;DRC/UNKNOWN/0022;038/11
SODEFOR;DRC/UNKNOWN/0022;045/11
SODEFOR;DRC/UNKNOWN/0022;62/14
SODEFOR;DRC/UNKNOWN/0022;63/14
SODEFOR;DRC/UNKNOWN/0022;65/14
SODEFOR  ;DRC/UNKNOWN/0022;042/11
SODEFOR  ;DRC/UNKNOWN/0022;064/14
SOMICONGO;DRC/UNKNOWN/0023;052/14
TALA TINA;DRC/UNKNOWN/0024;50/14